split,model,dimension,segment,sample_count,mean_actual,mean_predicted,mean_residual,mae
test,Ridge (position_specific),prediction_band,<2,5540,1.309927797833935,1.17002278539552,0.1399050124384148,1.3240154325601594
test,Ridge (position_specific),prediction_band,2-4,6712,3.0788140643623363,2.803200086229468,0.275613978132868,2.2302332049213445
test,Ridge (position_specific),prediction_band,4-6,647,4.734157650695518,4.585177412256849,0.14898023843866942,3.24035289740739
test,Ridge (position_specific),prediction_band,6-8,65,5.892307692307693,6.508429460820222,-0.616121768512529,4.151918923172166
test,Ridge (position_specific),prediction_band,8+,1,11.0,9.573798615142923,1.4262013848570767,1.4262013848570767
test,Ridge (position_specific),gw,2,228,3.1052631578947367,2.7816180048676626,0.32364515302707436,2.3007029647993256
test,Ridge (position_specific),gw,3,281,2.832740213523132,2.4515985710883967,0.3811416424347348,2.099995701800769
test,Ridge (position_specific),gw,4,320,2.68125,2.3417739394100616,0.3394760605899384,2.0530670507143407
test,Ridge (position_specific),gw,5,352,2.252840909090909,2.1686685327057122,0.0841723763851966,1.781724167971531
test,Ridge (position_specific),gw,6,365,2.191780821917808,2.2282097801597147,-0.0364289582419064,1.803558107472013
test,Ridge (position_specific),gw,7,362,2.3314917127071824,2.192490721054608,0.13900099165257476,1.7398803963728111
test,Ridge (position_specific),gw,8,368,2.4592391304347827,2.162764663687635,0.29647446674714745,1.9033407932838977
test,Ridge (position_specific),gw,9,366,2.4098360655737703,2.1863628023816,0.2234732631921704,1.8278424433558853
test,Ridge (position_specific),gw,10,363,2.3636363636363638,2.182425260489179,0.1812111031471846,1.7539937257386506
test,Ridge (position_specific),gw,11,354,2.615819209039548,2.2520784375418748,0.3637407714976732,1.9451912853550695
test,Ridge (position_specific),gw,12,349,2.4498567335243555,2.1924419044562784,0.257414829068077,1.8967433593613532
test,Ridge (position_specific),gw,13,349,2.3810888252148996,2.2491333810772645,0.13195544413763563,1.9738104954185947
test,Ridge (position_specific),gw,14,350,2.6028571428571428,2.2093293640705385,0.39352777878660417,2.0548264702099392
